datetime,open,high,low,close,K,D,%R,%R.1
2025-07-17 10:37:00,62.05,62.05,57.2,58.4,14.915714130106217,17.781879559011404,-91.304347826087,-48.46153846153847
2025-07-17 10:38:00,57.85,64.25,56.85,62.0,11.584746005581328,15.945923180699628,-63.60424028268552,-34.61538461538461
2025-07-17 10:39:00,62.05,64.55,61.35,61.35,13.13209586386399,13.210851999850512,-63.99999999999998,-44.06392694063927
2025-07-17 10:40:00,60.85,63.0,60.45,62.0,20.30371364128807,15.00685183691113,-48.24120603015074,-41.09589041095891
2025-07-17 10:41:00,61.75,63.15,58.95,59.4,13.602189047481472,15.679332850877849,-66.88311688311691,-59.9483204134367
2025-07-17 10:42:00,59.8,61.55,59.4,59.4,8.448672069184179,14.118191585984576,-66.88311688311691,-70.09063444108764
2025-07-17 10:43:00,59.2,63.2,58.2,62.1,8.439694758154886,10.16351862494018,-31.81818181818178,-56.86900958466453
2025-07-17 10:44:00,61.9,65.1,61.6,63.65,22.965861251587256,13.284742692975442,-17.57575757575754,-46.96485623003196
2025-07-17 10:45:00,64.5,65.2,59.35,60.85,29.678323326969004,20.36129311223705,-52.09580838323354,-64.85623003194888
2025-07-17 10:46:00,61.45,62.7,58.8,62.1,37.963536558493,30.20257371234975,-37.12574850299402,-56.86900958466453
2025-07-17 10:47:00,61.9,62.3,58.7,59.65,22.798842919180572,30.146900934880858,-79.28571428571435,-72.52396166134187
2025-07-17 10:48:00,59.55,59.7,55.7,57.4,15.44785369791878,25.403411058530786,-82.10526315789478,-86.9009584664537
2025-07-17 10:49:00,57.4,58.2,55.65,57.45,0.2845320701076637,12.843742895735671,-81.15183246073295,-86.58146964856229
2025-07-17 10:50:00,57.8,60.1,56.6,58.05,4.162910349354942,6.6317653724604595,-74.869109947644,-82.74760383386584
2025-07-17 10:51:00,55.7,58.0,53.25,56.8,4.1629103493549415,2.8701175896058486,-70.29288702928874,-80.00000000000001
2025-07-17 10:52:00,57.2,57.5,54.8,56.25,3.878378279247278,4.068066325985719,-74.89539748953975,-83.09859154929578
2025-07-17 10:53:00,55.7,55.95,53.55,53.55,-1.1842378929335002e-15,2.680429542867405,-97.489539748954,-98.30985915492958
2025-07-17 10:54:00,54.0,54.4,50.15,51.35,-1.1842378929335002e-15,1.2927927597490911,-90.4382470119522,-94.24460431654674
2025-07-17 10:55:00,51.3,53.3,51.0,52.7,5.3138460753612735,1.771282025120424,-79.01234567901231,-87.76978417266186
2025-07-17 10:56:00,53.1,54.1,52.4,53.3,12.986209170501253,6.100018415287508,-68.34170854271359,-84.89208633093526
2025-07-17 10:57:00,52.9,53.15,51.35,52.05,17.18469240521249,11.828249217025006,-80.90452261306535,-90.88729016786571
2025-07-17 10:58:00,52.0,52.1,48.3,49.1,11.87084632985122,14.013915968521651,-93.2203389830508,-96.19952494061756
2025-07-17 10:59:00,48.5,53.15,48.5,52.5,18.26117218427824,15.772236973113984,-56.701030927835035,-77.29729729729729
2025-07-17 11:00:00,52.1,53.9,49.45,53.0,34.400495945879165,21.51083815333621,-48.91304347826085,-72.18934911242603
2025-07-17 11:01:00,53.2,54.95,50.4,51.55,51.82280377953766,34.828157303231684,-57.51633986928107,-80.76923076923077
2025-07-17 11:02:00,52.0,53.45,51.05,51.05,52.942315748763825,46.38853849139355,-58.64661654135342,-83.72781065088758
2025-07-17 11:03:00,51.8,54.95,51.8,53.75,64.40911693012187,56.39141215280779,-18.045112781954913,-67.75147928994082
2025-07-17 11:04:00,53.65,55.25,53.45,55.0,80.32014242979672,65.89052503622747,-3.597122302158272,-60.35502958579881
2025-07-17 11:05:00,55.25,55.45,53.75,54.65,96.79116115069502,80.5068068368712,-11.18881118881124,-62.426035502958584
2025-07-17 11:06:00,54.75,56.2,54.4,54.55,96.13288912983715,91.08139757010964,-20.886075949367147,-63.01775147928995
2025-07-17 11:07:00,54.05,54.35,52.3,52.7,84.7349947916713,92.55301502406782,-45.45454545454544,-73.96449704142009
2025-07-17 11:08:00,53.35,55.35,52.65,53.4,79.14375463398653,86.670546185165,-41.48148148148155,-69.8224852071006
2025-07-17 11:09:00,53.15,57.3,53.05,57.3,81.3307518105075,81.7365004120551,0.0,-46.74556213017753
2025-07-17 11:10:00,57.35,60.25,56.35,56.35,88.97189208514266,83.14879950987888,-42.391304347826065,-52.36686390532543
2025-07-17 11:11:00,56.45,56.45,43.4,43.6,62.90991260313597,77.7375188329287,-98.81305637982192,-99.08256880733944
2025-07-17 11:12:00,43.85,44.5,36.25,36.55,29.57657926980264,60.48612798602709,-98.75,-98.9637305699482
2025-07-17 11:13:00,36.3,41.4,36.3,39.55,6.649796425614276,33.04542943285096,-86.25000000000001,-87.52362948960304
2025-07-17 11:14:00,39.85,41.25,39.85,40.45,15.233838579935451,17.15340475845079,-82.49999999999999,-83.87715930902111
2025-07-17 11:15:00,40.9,44.95,40.0,43.55,30.23843911362582,17.37402470639185,-69.58333333333334,-69.58333333333334
2025-07-17 11:16:00,43.45,43.65,40.05,41.85,36.40319907551857,27.29182558969329,-76.66666666666666,-76.66666666666666
2025-07-17 11:17:00,41.2,41.2,39.3,39.45,37.66943098632533,34.77035639182324,-86.66666666666664,-86.66666666666664
2025-07-17 11:18:00,39.55,41.55,35.55,35.55,28.17389006462485,34.08217337548958,-100.0,-100.0
2025-07-17 11:19:00,35.35,37.15,34.05,37.15,24.40349570557757,30.082272252175912,-86.16071428571428,-88.1679389312977
2025-07-17 11:20:00,36.7,37.75,35.4,37.6,24.607733697639677,25.728373155947367,-67.43119266055044,-86.45038167938931
2025-07-17 11:21:00,37.0,37.95,36.15,37.15,28.568216173508308,25.859815192241857,-71.55963302752293,-88.1679389312977
2025-07-17 11:22:00,36.7,36.9,34.25,36.85,28.58356236647752,27.253170745875178,-74.31192660550455,-89.31297709923663
2025-07-17 11:23:00,36.7,36.9,34.0,34.45,24.882714212465327,27.344830917483723,-95.89041095890408,-98.28571428571426
2025-07-17 11:24:00,34.05,36.25,33.05,36.1,38.18235427688787,30.549543618610244,-71.22641509433959,-88.78676470588235
2025-07-17 11:25:00,35.4,35.75,33.95,35.55,50.07736352140757,37.71414400358693,-70.58823529411765,-90.80882352941175
2025-07-17 11:26:00,34.85,34.85,32.75,32.9,44.23669574649114,44.165471181595535,-98.29545454545456,-99.45454545454544
2025-07-17 11:27:00,32.95,34.4,30.4,31.35,21.46751359421007,38.593857620702934,-87.41721854304632,-96.81742043551088
2025-07-17 11:28:00,30.4,31.9,29.95,31.9,5.423906006026384,23.70937178224254,-75.62500000000003,-93.56435643564356
2025-07-17 11:29:00,32.1,33.1,31.75,33.1,24.3457819810698,17.079067193768754,-60.624999999999986,-89.6039603960396
2025-07-17 11:30:00,33.0,33.0,31.45,31.75,40.52225699643325,23.430648327843144,-74.10071942446042,-94.05940594059406
2025-07-17 11:31:00,31.2,31.3,29.2,30.7,43.59996404259175,36.15600100669827,-80.51948051948051,-95.16908212560386
2025-07-17 11:32:00,30.45,31.05,29.75,29.95,26.309040748582294,36.8104205958691,-89.36170212765958,-97.58454106280192
2025-07-17 11:33:00,29.85,31.05,29.55,30.15,15.950094939790858,28.61969991032164,-85.49618320610688,-96.94041867954913
2025-07-17 11:34:00,30.45,33.65,30.45,33.0,41.29481134920073,27.8513156791913,-32.74336283185842,-87.76167471819646
2025-07-17 11:35:00,33.1,34.1,30.8,30.8,59.60208105896549,38.94899578265236,-69.2307692307692,-94.84702093397745
2025-07-17 11:36:00,30.95,31.0,23.65,25.4,53.78455185239347,51.56048142018657,-83.2535885167464,-95.21857923497268
2025-07-17 11:37:00,25.7,25.7,22.35,24.3,20.451218519060145,44.612617143473045,-83.40425531914894,-94.85488126649078
2025-07-17 11:38:00,23.85,23.85,21.65,22.1,4.736951571734001e-15,24.745256790484547,-96.38554216867468,-98.70689655172411
2025-07-17 11:39:00,22.3,23.4,21.1,22.7,4.129445255677081,8.193554591579078,-87.69230769230771,-93.29140461215934
2025-07-17 11:40:00,22.9,23.9,22.65,22.85,9.338178974351932,4.489208076676342,-86.53846153846153,-92.66247379454926
2025-07-17 11:41:00,23.05,23.05,22.05,22.3,12.96775523903939,8.811793156356137,-90.76923076923076,-94.96855345911948
2025-07-17 11:42:00,22.4,23.65,21.95,22.15,12.018312417444209,11.441415543611846,-91.92307692307692,-95.59748427672956
2025-07-17 11:43:00,22.35,24.6,22.35,24.35,27.3477190064721,17.444595554318568,-75.0,-85.58758314855876
2025-07-17 11:44:00,23.95,24.15,22.3,23.15,39.774904145428614,26.380311856448312,-79.29292929292932,-89.9755501222494
2025-07-17 11:45:00,23.35,23.75,22.75,22.75,51.16094308795024,39.42785541328366,-64.13043478260872,-91.93154034229828
2025-07-17 11:46:00,22.6,23.7,22.6,23.55,51.74559888036356,47.56048203791414,-30.00000000000002,-85.459940652819
2025-07-17 11:47:00,23.7,24.55,23.05,23.95,60.12922775721838,54.345256575177395,-18.571428571428633,-83.08605341246293
2025-07-17 11:48:00,23.95,24.6,23.4,23.75,77.16898139256217,63.01460267671471,-32.07547169811323,-84.27299703264096
2025-07-17 11:49:00,23.6,23.9,23.0,23.2,84.36401308557258,73.88740741178438,-52.830188679245325,-86.70886075949369
2025-07-17 11:50:00,23.2,24.6,23.1,24.5,93.25695613840712,84.9299835388473,-3.773584905660428,-78.48101265822785
2025-07-17 11:51:00,24.65,27.2,24.45,25.8,94.98449445979313,90.86848789459094,-28.57142857142855,-68.97689768976899
2025-07-17 11:52:00,25.85,26.4,24.3,24.95,95.65774343380969,94.63306467733663,-45.91836734693879,-73.72013651877134
2025-07-17 11:53:00,25.0,25.3,23.8,23.8,85.71935648821972,92.12053146060752,-73.91304347826087,-80.36363636363636
2025-07-17 11:54:00,23.7,25.0,22.05,24.9,83.73354260897264,88.37021417700068,-44.66019417475731,-71.42857142857144
2025-07-17 11:55:00,25.0,25.9,24.25,24.25,82.70640318235623,84.05310075984953,-57.28155339805826,-75.76923076923077
2025-07-17 11:56:00,24.0,24.8,23.85,24.8,90.88983800908164,85.77659460013683,-46.6019417475728,-71.53846153846155
2025-07-17 11:57:00,24.7,28.4,24.55,26.35,92.8756518883287,88.82396435992219,-32.2834645669291,-59.61538461538461
2025-07-17 11:58:00,26.45,27.35,23.3,23.95,85.02256203539464,89.59601731093498,-70.07874015748033,-78.0769230769231
2025-07-17 11:59:00,23.9,25.25,23.1,24.5,75.63733260166919,84.5118488417975,-61.417322834645674,-73.84615384615385
2025-07-17 12:00:00,24.45,25.45,23.95,24.5,64.49715104907916,75.05234856204765,-61.417322834645674,-73.84615384615385
2025-07-17 12:01:00,24.4,26.25,24.1,24.6,67.48065306504965,69.20504557193266,-59.84251968503934,-73.07692307692308
2025-07-17 12:02:00,24.65,25.05,23.8,24.4,66.87982726108702,66.28587712507193,-62.99212598425199,-74.61538461538463
2025-07-17 12:03:00,24.3,24.75,23.65,23.8,54.26711921975411,62.87586651529691,-86.79245283018868,-72.72727272727272
2025-07-17 12:04:00,23.8,24.1,22.6,23.3,35.281708609422985,52.14288503008803,-87.93103448275862,-69.86301369863013
2025-07-17 12:05:00,23.05,25.5,22.75,25.1,44.4418601807981,44.66356266999173,-56.89655172413791,-45.205479452054774
2025-07-17 12:06:00,24.9,25.2,23.75,24.15,54.40154903966022,44.70837260996043,-67.36842105263163,-58.2191780821918
2025-07-17 12:07:00,24.15,25.9,24.15,25.35,83.62594347976166,60.82311756673999,-24.657534246575313,-47.28682170542632
2025-07-17 12:08:00,25.25,27.3,25.25,26.4,86.2067992649392,74.74476392812035,-19.148936170212817,-31.007751937984494
2025-07-17 12:09:00,26.7,26.7,22.15,23.2,73.41562471109826,81.08278915193303,-79.61165048543688,-80.62015503875968
2025-07-17 12:10:00,22.65,25.85,22.65,24.9,61.587962811751986,73.7367955959298,-46.60194174757284,-55.11811023622049
2025-07-17 12:11:00,24.9,24.9,23.05,23.75,41.31819670413371,58.77392807566131,-68.93203883495144,-73.22834645669292
2025-07-17 12:12:00,23.95,24.4,22.65,23.35,44.76377542396943,49.22331164661836,-76.69902912621355,-79.52755905511809
2025-07-17 12:13:00,23.5,24.05,22.9,23.6,35.812972911583756,40.631648346562294,-71.84466019417472,-75.59055118110234
2025-07-17 12:14:00,23.5,25.05,23.35,24.85,46.76883169279565,42.44852667611627,-47.57281553398055,-55.905511811023594
2025-07-17 12:15:00,24.85,25.15,23.7,23.9,52.70921930617942,45.09700797018627,-66.01941747572818,-70.8661417322835
2025-07-17 12:16:00,23.7,25.45,23.6,24.6,62.75854713896288,54.07886604597932,-52.42718446601938,-59.84251968503934
2025-07-17 12:17:00,24.85,29.55,24.6,25.5,69.34219769645904,61.60332138053378,-54.72972972972972,-54.00000000000001
2025-07-17 12:18:00,26.25,27.4,25.65,26.6,86.54060665214128,72.8804504958544,-42.753623188405776,-39.33333333333333
2025-07-17 12:19:00,27.8,28.0,25.9,26.5,96.2286039135845,84.03713608739493,-44.20289855072463,-40.66666666666667
2025-07-17 12:20:00,26.5,27.4,25.55,27.4,98.95886068249472,93.90935708274016,-31.159420289855095,-28.666666666666696
2025-07-17 12:21:00,27.5,27.5,24.8,25.9,85.74473216052928,93.64406558553615,-54.8872180451128,-48.6666666666667
2025-07-17 12:22:00,26.3,28.5,26.3,28.3,86.78587147803455,90.49648810701952,-20.161290322580648,-16.891891891891888
2025-07-17 12:23:00,28.4,29.4,27.3,27.65,81.257309542482,84.5959710603486,-31.93277310924374,-25.6756756756757
2025-07-17 12:24:00,27.9,28.45,26.5,27.35,86.3693276624122,84.80416956097625,-36.97478991596638,-29.729729729729712
2025-07-17 12:25:00,27.4,29.25,26.65,27.7,80.7193588665897,82.78199869049463,-37.373737373737406,-25.00000000000001
2025-07-17 12:26:00,27.8,28.3,26.75,27.95,82.15261753678017,83.08043468859402,-31.521739130434785,-21.621621621621635
2025-07-17 12:27:00,27.75,28.15,26.1,26.6,70.87919013468489,77.91705551268491,-60.86956521739127,-39.86486486486485
2025-07-17 12:28:00,26.95,27.1,24.6,25.9,50.1096778785819,67.71382851668231,-72.91666666666671,-49.324324324324344
2025-07-17 12:29:00,26.1,26.3,24.75,25.3,20.871647810610643,47.28683860795915,-85.41666666666667,-57.432432432432414
2025-07-17 12:30:00,25.3,28.75,24.0,26.5,19.7698075708412,30.25037775334458,-53.703703703703695,-41.21621621621621
2025-07-17 12:31:00,25.85,27.1,25.35,25.35,13.969216832637656,18.2035574046965,-74.99999999999997,-56.75675675675673
2025-07-17 12:32:00,26.2,28.1,25.8,28.05,39.98785211779302,24.575625507090624,-22.857142857142843,-20.270270270270263
2025-07-17 12:33:00,27.9,28.65,25.85,26.0,34.116534696996474,29.357867882475716,-61.904761904761905,-47.97297297297297
2025-07-17 12:34:00,26.65,26.95,24.6,24.9,33.00327315379219,35.70255332286056,-81.0526315789474,-62.83783783783785
2025-07-17 12:35:00,25.05,26.85,24.95,26.65,21.110917845770345,29.410241898853005,-44.2105263157895,-39.18918918918921
2025-07-17 12:36:00,26.4,29.4,26.4,27.4,36.82567076147894,30.3132872536805,-37.037037037037045,-29.054054054054077
2025-07-17 12:37:00,27.05,28.2,26.7,27.75,62.52579990299174,40.15412950341368,-30.555555555555536,-26.08695652173913
2025-07-17 12:38:00,27.15,31.6,27.15,30.3,81.73285325919156,60.36144130788742,-17.10526315789474,-14.52513966480447
2025-07-17 12:39:00,29.85,30.55,28.25,30.1,90.71800429311963,78.32555248510099,-21.428571428571427,-16.759776536312845
2025-07-17 12:40:00,30.2,30.55,28.5,28.65,85.13843966497949,85.86309907243022,-42.14285714285718,-33.90804597701152
2025-07-17 12:41:00,28.2,29.65,28.2,28.4,70.0042616065097,81.95356852153628,-45.71428571428576,-38.787878787878824
2025-07-17 12:42:00,27.6,27.6,19.15,19.8,38.31971978823622,64.48747368657514,-94.77911646586344,-94.77911646586344
2025-07-17 12:43:00,19.95,19.95,15.7,15.85,18.199155274863553,42.17437888986984,-99.05660377358492,-99.05660377358492
2025-07-17 12:44:00,16.8,19.4,16.8,19.4,9.481894067360493,22.000256376820097,-76.72955974842768,-76.72955974842768
2025-07-17 12:45:00,19.05,19.6,18.6,19.25,18.735278267223116,15.472109203149069,-77.67295597484276,-77.67295597484276
2025-07-17 12:46:00,18.8,19.15,18.1,18.8,27.26876465120012,18.49531232859459,-80.50314465408803,-80.50314465408803
2025-07-17 12:47:00,18.5,19.35,18.5,18.95,26.747201988266703,24.25041496889666,-78.11447811447812,-79.55974842767296
2025-07-17 12:48:00,18.65,25.75,18.65,25.15,40.95408561092021,31.656684083462363,-36.363636363636374,-40.566037735849065
2025-07-17 12:49:00,25.45,27.0,24.55,25.0,55.56828394109426,41.08985718009374,-33.33333333333333,-41.509433962264154
2025-07-17 12:50:00,25.55,26.0,24.8,24.8,69.31330299788907,55.27855751663452,-23.529411764705884,-42.76729559748428
2025-07-17 12:51:00,24.95,25.6,23.95,24.55,67.97473150926155,64.2854394827483,-21.681415929203535,-44.33962264150944
2025-07-17 12:52:00,24.2,24.2,21.65,23.15,64.14803431131993,67.14535627282352,-37.7450980392157,-53.14465408805032
2025-07-17 12:53:00,23.35,26.65,23.35,24.3,68.19651842778832,66.7730947494566,-30.337078651685392,-45.911949685534594
2025-07-17 12:54:00,24.3,24.75,22.55,23.35,70.83795093548308,67.72750122486379,-41.01123595505617,-51.88679245283018
2025-07-17 12:55:00,23.15,24.35,22.5,24.05,81.66806616486672,73.56751184271272,-34.70588235294117,-47.48427672955975
2025-07-17 12:56:00,23.8,25.3,23.8,24.8,87.83521921319232,80.11374543784738,-26.347305389221543,-42.76729559748428
2025-07-17 12:57:00,25.1,25.8,23.6,23.65,88.80228935505689,86.10185824437197,-62.61682242990655,-50.00000000000001
2025-07-17 12:58:00,23.55,24.35,22.85,24.1,87.22257411696414,87.95336089507113,-50.99999999999994,-47.16981132075471
2025-07-17 12:59:00,23.85,24.55,22.5,23.35,78.13486708150033,84.71991018450713,-65.99999999999994,-51.88679245283018
2025-07-17 13:00:00,23.3,24.45,22.95,23.95,80.20514678933715,81.85419599593388,-53.999999999999986,-48.11320754716982
2025-07-17 13:01:00,23.7,23.9,21.6,22.3,51.63375928183685,69.99125771755813,-86.13861386138615,-58.490566037735846
2025-07-17 13:02:00,22.0,22.6,20.9,22.35,28.63120092937548,53.49003566684984,-70.40816326530609,-58.17610062893081
2025-07-17 13:03:00,22.5,22.5,20.05,22.35,1.6614444761814628,27.308801562464613,-59.99999999999999,-58.17610062893081
2025-07-17 13:04:00,22.25,23.8,21.35,23.65,25.343377633168316,18.54534101290842,-37.39130434782613,-50.00000000000001
2025-07-17 13:05:00,24.8,33.75,24.8,31.95,57.84598872841093,28.2836036125869,-13.138686131386866,-9.972299168975072
2025-07-17 13:06:00,33.45,34.95,31.5,32.85,90.34859982365352,57.84598872841092,-14.093959731543633,-10.909090909090914
2025-07-17 13:07:00,33.15,33.15,28.15,30.0,88.40138873064843,78.8653257609043,-33.22147651006713,-25.71428571428573
2025-07-17 13:08:00,30.15,32.05,29.4,30.55,78.12027426184378,85.62342093871524,-29.53020134228189,-22.857142857142865
2025-07-17 13:09:00,30.05,30.5,27.5,28.75,61.05931695949473,75.86032665066232,-41.61073825503357,-32.20779220779222
2025-07-17 13:10:00,28.7,29.85,27.4,28.8,55.737521964475576,64.97237106193802,-41.275167785234906,-31.948051948051955
2025-07-17 13:11:00,28.35,29.65,27.65,28.8,49.09823016890953,55.29835636429328,-41.275167785234906,-33.884297520661164
2025-07-17 13:12:00,28.65,32.05,28.1,29.85,52.46379841958625,52.43318351765711,-37.50000000000001,-30.267062314540063
2025-07-17 13:13:00,30.2,32.1,29.75,30.2,56.76076530518463,52.7742646312268,-46.79802955665027,-28.189910979228504
2025-07-17 13:14:00,29.95,30.6,28.85,30.3,61.37917454340323,56.867912756058026,-61.58940397350993,-28.267477203647424
