time,open,high,low,close,Fixed Stop Loss,Trailing Stop,Up Trend Current,Down Trend Current,Entry1,Entry2,EMA 15,Armed,K,D,%R,%R
1753074540,151.7,155.55,150.05,150.75,NaN,NaN,NaN,165.7778272580099,0,0,155.0328204529867,0,11.296676837366318,29.50320521054233,-83.8926174496644,-72.07792207792208
1753074600,151,156,151,155.35,NaN,NaN,NaN,165.7778272580099,0,0,155.07246789636335,0,12.062699697179275,16.088341107076065,-53.020134228187935,-48.03149606299219
1753074660,155.95,159.85,155.8,159.85,NaN,NaN,NaN,165.7778272580099,0,0,155.66965940931794,1,34.36291679699126,19.240764443845617,-22.818791946308753,-16.113744075829416
1753074720,159.75,160.25,152.25,152.25,NaN,NaN,NaN,165.7778272580099,0,0,155.2422019831532,0,37.527554684862444,27.984390393010994,-69.76744186046508,-52.13270142180096
1753074780,152.1,152.1,149.1,151.05,NaN,NaN,NaN,165.7778272580099,0,0,154.71817673525905,0,25.945388423876278,32.61195330191,-79.06976744186034,-57.819905213270104
1753074840,152.35,154.8,150.3,150.3,NaN,NaN,NaN,165.7778272580099,0,0,154.16590464335167,0,3.645171324064293,22.37270481093434,-84.27419354838696,-61.37440758293835
1753074900,150.95,156.1,150.95,152.5,NaN,NaN,NaN,165.7778272580099,0,0,153.9576665629327,0,6.125190512106516,11.905250086682365,-65.12605042016804,-50.94786729857821
1753074960,152.35,154,148.95,150.4,NaN,NaN,NaN,165.7778272580099,0,0,153.51295824256613,0,6.254689805798217,5.341683880656345,-82.77310924369739,-60.90047393364928
1753075020,150.3,153.3,150.15,151.3,NaN,NaN,NaN,165.7778272580099,0,0,153.23633846224536,0,9.931643767832066,7.437174695245602,-79.20353982300867,-56.635071090047354
1753075080,151.15,151.25,147.15,149.15,NaN,NaN,NaN,164.4283197933449,0,0,152.7255461544647,0,4.286986691918654,6.824440088516314,-84.73282442748092,-66.82464454976304
1753075140,149.95,153.15,149.95,150.3,NaN,NaN,NaN,164.4283197933449,0,0,152.4223528851566,0,8.265408610500787,7.494679690083838,-75.95419847328239,-61.37440758293835
1753075200,150.6,151.9,149.1,151.9,NaN,NaN,NaN,164.4283197933449,0,0,152.35705877451204,0,15.554519839318006,9.368971713912485,-63.74045801526716,-53.79146919431279
1753075260,151.2,151.8,144.8,145.55,NaN,NaN,NaN,163.25944512934845,0,0,151.50617642769805,0,15.554519839318006,13.124816096378936,-93.36283185840706,-83.88625592417058
1753075320,146.9,147.25,142,143.55,NaN,NaN,NaN,159.66350061641361,0,0,150.5116543742358,0,10.966065190851081,14.025034956495702,-89.00709219858146,-92.70588235294112
1753075380,144.4,147.45,144.1,146.65,NaN,NaN,NaN,159.66350061641361,0,0,150.02894757745634,0,8.745988277281151,11.755524435816747,-67.02127659574462,-78.11764705882351
1753075440,146.05,148.55,145.65,148.1,NaN,NaN,NaN,159.66350061641361,1,0,149.7878291302743,1,21.40288102811235,13.704978165414865,-49.166666666666714,-71.29411764705884
1753075500,148.6,149.8,147.45,149.8,NaN,140.90774934653132,NaN,159.66350061641361,0,0,149.78935048899,0,52.696922445699876,27.61526391703113,-30.973451327433597,-63.29411764705877
1753075560,149.7,153.95,149.65,152.65,NaN,143.98819947722504,NaN,159.66350061641361,0,0,150.14693167786626,0,77.28426750175207,50.46135699185478,-10.878661087865977,-49.88235294117645
1753075620,152.95,159.6,152.85,156.7,NaN,147.26855958178004,NaN,159.66350061641361,0,0,150.96606521813297,0,97.9607080842542,75.98063267723539,-16.477272727272766,-30.82352941176476
1753075680,155.7,160,155,159.2,NaN,149.85484766542402,NaN,159.66350061641361,0,0,151.99530706586634,0,100,91.74832519533543,-4.444444444444508,-19.058823529411818
1753075740,159.2,159.2,157.1,158.1,NaN,150.96787813233922,NaN,159.66350061641361,0,0,152.75839368263306,0,97.12608833696716,98.36226547374046,-10.555555555555587,-24.235294117647086
1753075800,158.8,162.1,157.5,158.3,NaN,150.96787813233922,NaN,159.66350061641361,0,0,153.45109447230394,0,94.6371836270633,97.25442398801016,-18.90547263681584,-23.29411764705877
1753075860,158.55,161,157.5,159.3,NaN,151.4466420046971,NaN,159.66350061641361,0,0,154.18220766326596,0,94.14724845077274,95.3035068049344,-15.555555555555461,-13.930348258706386
1753075920,158.2,160.3,154.2,154.65,NaN,151.4466420046971,NaN,159.66350061641361,0,0,154.2406817053577,0,83.88459161404926,90.88967456396176,-45.28875379939206,-37.06467661691538
1753075980,155.6,165.5,155.1,165.5,NaN,152.43572885700752,146.35982810406918,NaN,0,0,155.648096492188,0,86.37349632395312,88.13511212959172,0,0
