time,open,high,low,close,Fixed Stop Loss,Supertrend Stop,Take Profit,Up Trend,Down Trend,Entry1,Entry2,SMA 21,Entry Signal,K,D,%R,%R
1752555360,125.7,126.9,122.6,123.6,111.15499999999999,NaN,130.25,NaN,129.74490185860154,0,0,123.72472819005974,0,73.50057475090733,84.9821796930737,-53.41880341880347,-52.01900237529697
1752555420,123.3,123.3,119,119.25,111.15499999999999,NaN,130.25,NaN,129.74490185860154,0,0,123.16538716630227,0,45.73249851323495,68.33127931159812,-97.69585253456222,-72.68408551068885
1752555480,119.4,119.4,116.65,117.1,111.15499999999999,NaN,130.25,NaN,129.74490185860154,0,0,122.40721377051449,0,22.323600166911117,47.18555781035113,-96.59090909090918,-80.43478260869568
1752555540,117.95,117.95,115.15,115.55,111.15499999999999,NaN,130.25,NaN,129.02539894718998,0,0,121.55006204920018,0,5.195896896012897,24.417331858719653,-97.27891156462591,-87.46177370030583
1752555600,115.9,116.1,112.9,113.05,111.15499999999999,NaN,130.25,NaN,126.68785905247098,0,0,120.48755429305015,0,-6.5133084111342514e-15,9.173165687641339,-99.11504424778767,-99.11504424778767
1752555660,111.9,113.1,107.5,108.5,NaN,NaN,NaN,NaN,122.94907314722388,0,0,118.98911000641888,0,-6.5133084111342514e-15,1.7319656320042982,-95.52572706935123,-95.52572706935123
1752555720,108.05,111.4,107.45,108.35,NaN,NaN,NaN,NaN,121.99416583250151,0,0,117.65922125561653,0,-6.5133084111342514e-15,-3.0592812234115422e-15,-95.98214285714289,-95.98214285714289
1752555780,108.2,109.45,105.6,106.15,NaN,NaN,NaN,NaN,119.99224924925136,0,0,116.22056859866447,0,-6.5133084111342514e-15,-3.0592812234115422e-15,-97.65957446808507,-97.73195876288656
1752555840,106.3,107.6,105.9,106.8,NaN,NaN,NaN,NaN,118.48052432432621,0,0,115.04299752383142,0,1.6530761313870563,0.5510253771290144,-94.36619718309858,-95.05154639175255
1752555900,106.15,106.15,103,105.25,NaN,NaN,NaN,NaN,116.27247189189359,0,0,113.81887283335249,0,1.6530761313870563,1.1020507542580356,-88.91625615763547,-91.62011173184358
1752555960,105.4,107.3,103.6,104.35,NaN,NaN,NaN,NaN,116.27247189189359,0,0,112.63526372918342,0,1.6530761313870563,1.6530761313870563,-91.76829268292687,-94.97206703910616
1752556020,103.9,105.1,102.65,103.35,NaN,NaN,NaN,NaN,115.0839522324338,0,0,111.4746057630355,0,-6.5133084111342514e-15,1.1020507542580353,-95.42483660130726,-97.42647058823533
1752556080,103.35,103.8,99.1,100.95,NaN,NaN,NaN,NaN,112.94805700919042,0,0,110.15903004265606,0,-6.5133084111342514e-15,0.5510253771290144,-89.11764705882348,-93.98373983739835
