time,open,high,low,close,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Prev Day High,Prev Day Low,EMA,Up Trend,Down Trend,K,D,%R,%R.1,datetime
1750825500,25187.35,25196.3,25186.8,25194.8,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25188.32073010252,25168.98460461904,,25.41922317061533,33.41317737865858,-26.036866359452837,-12.500000000003018,2025-06-25 09:55:00
1750825560,25194.75,25196.5,25190.65,25190.75,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25188.624388839704,25168.98460461904,,18.273244413122377,23.737747561902054,-44.70046082949494,-21.460176991151705,2025-06-25 09:56:00
1750825620,25191.15,25193.95,25188.5,25190.5,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25188.85884023474,25168.98460461904,,20.287933571348045,21.326800385028573,-45.8525345622138,-24.268292682928603,2025-06-25 09:57:00
1750825680,25191.55,25201.95,25191.1,25201.8,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25190.4764852054,25170.979600324285,,28.4616295141464,22.340935832872265,-0.6666666666731342,-0.3952569169998743,2025-06-25 09:58:00
1750825740,25200.95,25204.7,25195.65,25203.0,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25192.041924554724,25174.469140291854,,47.63470857977151,32.128090555088654,-8.133971291868944,-4.456094364352983,2025-06-25 09:59:00
1750825800,25203.75,25207.15,25200.5,25204.95,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25193.655433985383,25178.69472626267,,70.29776394077008,48.79803401156266,-9.649122807019504,-5.418719211824161,2025-06-25 10:00:00
1750825860,25204.85,25206.2,25201.7,25205.85,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25195.17975473721,25179.982753636403,,76.32957731397717,64.75401661150626,-5.701754385976949,-3.20197044335675,2025-06-25 10:01:00
1750825920,25205.7,25208.6,25204.5,25206.35,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25196.57603539506,25183.749478272763,,86.62080353857861,77.7493815977753,-9.278350515463918,-5.415162454873741,2025-06-25 10:02:00
1750825980,25206.2,25206.7,25193.8,25196.5,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25196.56653097068,25183.749478272763,,60.6705096606262,74.54029683772733,-55.50458715595848,-29.121540312873066,2025-06-25 10:03:00
1750826040,25195.1,25198.5,25193.75,25197.1,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25196.633214599344,25183.749478272763,,34.77587295212947,60.68906205044476,-57.21393034826285,-27.6774969915769,2025-06-25 10:04:00
1750826100,25198.3,25202.0,25196.95,25200.65,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25197.135312774422,25183.749478272763,,11.4746215526527,35.64033472180279,-39.55223880595853,-19.133574007213547,2025-06-25 10:05:00
