time,open,high,low,close,Fixed Stop Loss,Supertrend Stop,Take Profit,Up Trend,Down Trend,Entry1,Entry2,SMA 21,K,D,%R,%R
1752225360,78.7,81,78,79.75,NaN,NaN,NaN,NaN,86.14125424160682,0,0,82.35249431508791,9.79112089779176,7.84868633620064,-76.02739726027397,-86.22047244094487
1752225420,79.6,80.35,77.35,78.95,NaN,NaN,NaN,NaN,85.73691593570152,0,0,81.92718252570192,11.573474677637273,9.414021543611371,-75.38461538461526,-88.01498127340818
1752225480,78.55,80.4,78.55,79.8,NaN,NaN,NaN,NaN,85.73691593570152,0,0,81.66128470998919,22.896926281015784,14.75384061881494,-52.88461538461536,-81.64794007490634
1752225540,79.9,81.5,79.85,81.35,NaN,NaN,NaN,NaN,85.73691593570152,1,0,81.62237412124054,39.33546703892406,24.60195599919237,-23.07692307692312,-70.03745318352063
1752225600,81.3,83.15,80.9,83.15,NaN,NaN,NaN,NaN,85.73691593570152,1,0,81.81332735608547,69.0525995068247,43.76166427558818,0,-56.554307116104816
1752225660,82.3,84.3,82.3,83,NaN,NaN,NaN,NaN,85.73691593570152,1,0,81.96166143657479,90.08175499003896,66.1566071785959,-18.705035971222973,-57.67790262172283
1752225720,83.3,83.4,82.35,83,NaN,NaN,NaN,NaN,85.73691593570152,0,0,82.09145375700294,98.0385475065188,85.72430066779414,-18.705035971222973,-57.67790262172283
1752225780,82.65,83,81.05,82.4,NaN,NaN,NaN,NaN,85.73691593570152,0,0,82.13002203737757,92.73044099693668,93.61691449783147,-27.338129496402743,-62.1722846441947
1752225840,82.45,83.7,82.3,82.55,NaN,NaN,NaN,NaN,85.73691593570152,0,0,82.18251928270537,89.57779787220791,93.4489287918878,-25.179856115107903,-61.04868913857678
1752225900,82.15,82.15,79.4,80.9,NaN,NaN,NaN,NaN,85.73691593570152,0,0,82.0222043723672,74.6626808547269,85.65697324129049,-48.92086330935238,-73.40823970037447
1752225960,80.55,81.75,79.85,81.65,NaN,NaN,NaN,NaN,85.73691593570152,0,0,81.9756788258213,70.35758516405515,78.19935463032999,-46.08695652173898,-67.79026217228459
1752226020,81.5,81.9,80.05,80.4,NaN,NaN,NaN,NaN,85.73691593570152,0,0,81.77871897259364,56.39151259461588,67.13725953779932,-79.59183673469384,-77.15355805243439
1752226080,80.25,80.25,78.2,78.3,NaN,NaN,NaN,NaN,85.45333925039972,0,0,81.34387910101944,42.03397949333949,56.26102575067019,-98.36065573770502,-92.39999999999998
1752226140,78.3,78.7,76.6,78.3,NaN,NaN,NaN,NaN,83.88550532535976,0,0,80.96339421339201,18.313848360260028,38.91311348273848,-77.92207792207789,-84.03755868544599
1752226200,77.95,80.9,77.15,79.15,NaN,NaN,NaN,NaN,83.88550532535976,0,0,80.736719936718,11.875632713589484,24.074486855729685,-64.0845070422534,-72.28260869565206
1752226260,78.4,81.7,78.25,79.7,NaN,NaN,NaN,NaN,83.88550532535976,1,0,80.60712994462826,23.128505578444777,17.772662217431446,-56.33802816901402,-66.1202185792349
1752226320,79.7,80.85,79.5,80.05,NaN,NaN,NaN,NaN,83.88550532535976,1,0,80.53748870154972,41.009086899884515,25.337741730639607,-51.40845070422537,-61.66666666666664
1752226380,80.2,81.25,80.15,80.65,NaN,NaN,NaN,NaN,83.88550532535976,0,0,80.551552613856,56.173369980016965,40.103654152782106,-27.02702702702697,-54.99999999999987
1752226440,80.25,80.85,79.85,80.35,NaN,NaN,NaN,NaN,83.88550532535976,0,0,80.526358537124,63.81301484844255,53.66515724278136,-29.245283018868076,-58.333333333333336
1752226500,80.05,80.4,78.75,80.1,NaN,NaN,NaN,NaN,83.88550532535976,0,0,80.4730637199835,65.51461629870802,61.8336670423892,-33.96226415094354,-59.77011494252874
1752226560,80.1,80.8,79.25,79.25,NaN,NaN,NaN,NaN,83.88550532535976,0,0,80.32018075498556,54.6025952364966,61.31007546121574,-48.03921568627449,-65.58441558441552
1752226620,79.25,79.9,78.65,79.55,NaN,NaN,NaN,NaN,83.88550532535976,0,0,80.22390816061237,49.96241786569215,56.693209800298945,-42.15686274509808,-61.688311688311664
1752226680,79.15,80.75,79.15,79.3,NaN,NaN,NaN,NaN,83.88550532535976,0,0,80.10841964053583,47.86625525709383,50.810422786427544,-52.74725274725291,-64.93506493506491
1752226740,79.35,80.3,79.25,79.5,NaN,NaN,NaN,NaN,83.88550532535976,0,0,80.03236718546884,56.075418288042265,51.30136380360943,-63.76811594202901,-62.33766233766228
1752226800,79.1,80.85,79,80.55,NaN,NaN,NaN,NaN,83.88550532535976,0,0,80.09707128728523,72.07645429106385,58.67270927873333,-26.92307692307709,-48.70129870129868
1752226860,80.4,83.5,80.05,83.5,NaN,NaN,NaN,NaN,83.88550532535976,0,0,80.52243737637458,87.9237674612903,72.02521334679882,0,-10.389610389610349
1752226920,83.5,84.3,82.85,83.6,NaN,NaN,NaN,NaN,83.88550532535976,0,0,80.90713270432776,100,86.66674058411807,-12.38938053097352,-9.090909090909124
1752226980,83.45,85.2,83,84.4,NaN,NaN,NaN,78.30706683325211,NaN,0,0,81.3437411162868,100,95.97458915376343,-12.213740458015229,-9.302325581395307
1752227040,84.5,86.6,83.2,85.95,NaN,NaN,NaN,78.6663601499269,NaN,0,0,81.91952347675094,100,100.00000000000001,-8.176100628930723,-6.499999999999915
1752227100,86.35,86.45,84.35,85.2,NaN,NaN,NaN,79.15972413493421,NaN,0,0,82.32958304215707,94.82287039479905,98.2742901315997,-17.61006289308168,-13.999999999999915
1752227160,84.95,84.95,82.35,84.2,NaN,NaN,NaN,79.15972413493421,NaN,0,0,82.56338516188744,83.22702455821924,92.68329831767278,-31.578947368420963,-23.999999999999915
1752227220,84.1,85.65,84.1,85.6,NaN,NaN,NaN,79.15972413493421,NaN,0,0,82.9429620166515,77.1189921555818,85.0562957028667,-13.157894736842115,-10
1752227280,85.5,88.6,85.35,87.95,NaN,NaN,NaN,80.33978889436703,NaN,0,0,83.56884176457007,82.29612176078275,80.88071282486128,-6.770833333333249,-5.416666666666596
1752227340,87.75,89.35,87.75,87.85,NaN,NaN,NaN,82.09831000493033,NaN,0,0,84.10398654399881,93.27426345015515,84.22979245550658,-16.12903225806452,-11.764705882352942
1752227400,86.85,87.6,85.1,86.95,NaN,NaN,NaN,82.09831000493033,NaN,0,0,84.45973822599896,93.09698132979257,89.55578884691018,-34.285714285714164,-18.82352941176464
1752227460,86.25,86.75,84.75,85.8,NaN,NaN,NaN,82.09831000493033,NaN,0,0,84.6272709477491,80.16854117351771,88.84659531782182,-50.71428571428567,-27.84313725490194
1752227520,86.2,86.55,84.55,84.7,NaN,NaN,NaN,82.09831000493033,NaN,0,0,84.63636207928046,61.274104681165106,78.17987572815848,-66.4285714285713,-36.47058823529405
1752227580,85.05,87.25,85,86.45,NaN,NaN,NaN,82.09831000493033,NaN,0,0,84.8630668193704,51.59428801941677,64.34564462469989,-41.42857142857131,-22.74509803921562
1752227640,86.8,87.6,86.3,87.25,NaN,NaN,NaN,82.09831000493033,NaN,0,0,85.1614334669491,48.15045838976959,53.672950363450504,-29.99999999999992,-16.470588235294073
1752227700,87.05,87.45,85.35,86,NaN,NaN,NaN,82.09831000493033,NaN,0,0,85.26625428358047,39.659120364363346,46.46795559118325,-63.809523809523704,-26.274509803921525
