time,open,high,low,close,Fixed Stop Loss,Trailing Stop,Up Trend Current,Down Trend Current,Entry,SMA 21,%R,%R,K,D
1752215820,186.15,188.35,185.9,188,NaN,182.504,NaN,201.80908929428057,0,188.67726425126517,-86.03696098562627,-66.61367249602543,39.532063686240726,61.828798742082085
1752215880,188,190.85,188,190,NaN,182.504,NaN,201.80908929428057,0,188.84260621985703,-81.50537634408597,-60.254372019077884,35.07715514570909,45.275301781985284
1752215940,189.3,199.2,189.3,190.6,NaN,182.504,NaN,201.80908929428057,0,189.0622804423749,-78.92473118279568,-58.34658187599365,37.21643248633709,37.27521710609566
1752216000,192.45,193.7,190.35,190.75,NaN,182.504,NaN,201.80908929428057,0,189.27324538707805,-78.27956989247306,-57.86963434022256,36.29728628882854,36.19695797362493
1752216060,190.6,192.95,190.55,192.5,NaN,182.504,NaN,201.80908929428057,0,189.6765897136933,-70.75268817204297,-52.30524642289346,38.025524794720106,37.1797478566286
1752216120,192,195.8,187.9,188.5,NaN,182.504,NaN,201.80908929428057,0,189.52951599948162,-87.95698924731178,-65.02384737678854,28.821453104253745,34.381421395934154
1752216180,187.5,188,183.6,184,NaN,182.504,NaN,200.97605804864176,0,188.8383264995464,-97.4358974358974,-79.3322734499205,18.091888796194198,28.31295556505604
1752216240,184.55,185.7,184.1,185.1,NaN,182.504,NaN,199.06845224377753,0,188.3710356871031,-90.38461538461539,-75.83465818759937,5.367544267163393,17.42696205587047
1752216300,185.7,188.3,185.7,188.3,NaN,182.504,NaN,199.06845224377753,0,188.3621562262152,-69.87179487179475,-65.65977742448325,12.416091469504261,11.958508177620617
1752216360,188.6,190,187.65,189.1,NaN,182.504,NaN,199.06845224377753,0,188.4543866979383,-64.74358974358974,-63.1160572337043,23.91642637979128,13.900020705486313
1752216420,188.15,189.35,186.1,186.6,NaN,182.504,NaN,199.06845224377753,0,188.22258836069602,-80.76923076923077,-71.06518282988873,27.236449335592756,21.1896557282961
1752216480,187,187.45,181.9,184.55,NaN,NaN,NaN,197.78431151714247,0,187.76351481560903,-80.93525179856111,-77.58346581875989,20.408119723567676,23.85366514631724
1752216540,184.2,185.15,183.8,184.25,NaN,NaN,NaN,196.67838036542824,0,187.32432546365789,-83.09352517985616,-78.53736089030207,10.796284545877265,19.48028453501257
1752216600,184.75,186.9,184.75,185.7,NaN,NaN,NaN,196.67838036542824,0,187.12128478070065,-72.66187050359726,-73.92686804451513,13.382785776169571,14.862396681871504
