time,open,high,low,close,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Prev Day High,Prev Day Low,Up Trend,Down Trend,K,D,%R,%R.1,datetime
1752814800,24952.55,24952.55,24931.4,24932.4,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,24973.65546986181,65.82106240617392,71.81855059186547,-97.25274725274708,-98.9795918367347,2025-07-18 10:30:00
1752814860,24933.4,24951.3,24933.4,24947.95,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,24973.65546986181,75.21119467136657,72.10413088946056,-54.532967032966305,-83.11224489795993,2025-07-18 10:31:00
1752814920,24947.65,24949.9,24943.5,24945.45,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,24973.65546986181,80.26302254654063,73.76509320802704,-61.401098901098585,-85.33402922755806,2025-07-18 10:32:00
1752814980,24944.9,24949.45,24944.5,24946.9,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,24973.65546986181,98.53073225791763,84.66831649194161,-57.417582417579865,-83.65840801265131,2025-07-18 10:33:00
1752815040,24947.55,24948.9,24942.45,24943.9,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,24973.65546986181,95.35179430031512,91.38184970159112,-63.71552975326254,-86.18021006080663,2025-07-18 10:34:00
1752815100,24943.85,24950.3,24943.0,24950.1,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,24973.65546986181,96.82106204239749,96.90119620021008,-38.888888888895494,-79.32559425096994,2025-07-18 10:35:00
1752815160,24949.9,24962.0,24948.1,24960.55,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,24973.65546986181,96.82106204239749,96.33130612837004,-4.738562091505871,-67.30229949523441,2025-07-18 10:36:00
1752815220,24961.15,24961.9,24956.75,24958.25,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,24973.65546986181,98.28137626254691,97.30783344911394,-12.254901960784895,-69.1024165707719,2025-07-18 10:37:00
1752815280,24958.2,24962.6,24956.15,24957.2,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,24973.65546986181,95.75150129159528,96.95131319884656,-17.307692307686928,-69.93006993007052,2025-07-18 10:38:00
1752815340,24957.8,24957.8,24953.4,24953.5,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,24973.65546986181,90.32781425616882,94.78689727010368,-31.16438356164196,-74.24242424242571,2025-07-18 10:39:00
