time,open,high,low,close,Fixed Stop Loss,Supertrend Stop,Take Profit,Up Trend,Down Trend,Entry1,Entry2,SMA 21,EMA,Call Stop Loss,Call Take Profit,Put Stop Loss,Put Take Profit,Call EMA,Put EMA,Call Up Trend,Call Down Trend,Put Up Trend,Put Down Trend,K,D,%R,%R
1752047940,172.3,173,171.8,171.8,NaN,NaN,NaN,163.34055912201325,NaN,0,0,170.71035914421145,171.4055637146747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.69418686886303,46.88722382739309,-38.775510204081584,-13.225058004640339
1752048000,171.75,171.95,169.55,170.4,NaN,NaN,NaN,163.34055912201325,NaN,0,0,170.67156425118503,171.20445097173976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.61499252646389,49.18450173713264,-57.82312925170073,-19.721577726218086
1752048060,170.5,173,170.5,171.25,NaN,NaN,NaN,163.34055912201325,NaN,0,0,170.74386871978692,171.21356077739182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.178903394075203,41.82936092980073,-45.13888888888896,-15.777262180974496
1752048120,171.3,171.5,169.4,170,NaN,NaN,NaN,163.34055912201325,NaN,0,0,170.65088512981356,170.97084862191346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.729042341283105,24.84097942060742,-62.5000000000001,-23.544303797468384
1752048180,170.05,171.6,170,170.05,NaN,NaN,NaN,163.34055912201325,NaN,0,0,170.57577448858686,170.78667889753078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.478411674161807,15.128785803173391,-60.43165467625893,-27.462686567164145
1752048240,170,170.95,169.55,170.2,NaN,NaN,NaN,163.34055912201325,NaN,0,0,170.5288026775135,170.6693431180246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3165366395984264,7.507996885014468,-58.27338129496429,-26.56716417910458
1752048300,170,170.75,167.95,170.3,NaN,NaN,NaN,163.34055912201325,NaN,0,0,170.5002023428243,170.5954744944197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.19520669133485,5.663385001698384,-62.698412698412405,-25.97014925373131
1752048360,169.2,170,163.85,165.25,NaN,NaN,NaN,163.34055912201325,NaN,0,0,169.84392704997128,169.52637959553576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.749283562756053,4.0870089645631325,-86.53846153846149,-60.84142394822003
1752048420,166,167.8,165.95,167.2,NaN,NaN,NaN,163.34055912201325,NaN,0,0,169.51343616872487,169.06110367642862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.980160136151317,7.641550130080764,-63.38797814207659,-48.22006472491915
1752048480,166.85,170,166.85,169.75,NaN,NaN,NaN,163.34055912201325,NaN,0,1,169.54300664763426,169.1988829411429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.60354934830905,16.44433101573883,-35.51912568306009,-34.628975265017694
1752048540,170.35,170.35,166.95,166.95,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,169.21888081667998,168.7491063529143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.59122575956443,29.05831174800829,-66.12021857923506,-71.29629629629638
1752048600,166.75,168.25,166.75,167.35,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,168.98527071459498,168.46928508233145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.25159436215801,39.81545649001052,-54.83870967741935,-67.59259259259262
1752048660,167,168.6,167,168.6,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,168.9371118752706,168.49542806586516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.671523343214915,43.504781154979135,-38.70967741935484,-56.01851851851856
