datetime,open,high,low,close,Call
2025-07-15 15:14:00,152.7,154.3,152.05,153.0,0
2025-07-15 15:15:00,152.85,155.15,152.65,153.75,0
2025-07-15 15:16:00,153.3,154.5,148.55,148.55,0
2025-07-15 15:17:00,148.8,151.65,148.0,149.35,0
2025-07-15 15:18:00,149.95,152.25,149.8,152.25,0
2025-07-15 15:19:00,152.25,154.8,152.05,154.8,0
2025-07-15 15:20:00,154.9,156.4,153.9,155.5,0
2025-07-15 15:21:00,156.0,163.0,156.0,162.15,0
2025-07-15 15:22:00,161.65,166.05,161.65,165.3,0
2025-07-15 15:23:00,165.5,167.3,164.25,165.15,0
2025-07-15 15:24:00,164.65,169.45,164.3,169.25,0
2025-07-15 15:25:00,169.4,170.85,165.4,169.45,0
2025-07-15 15:26:00,169.4,170.5,166.35,167.0,0
2025-07-15 15:27:00,168.05,169.3,168.05,169.15,0
2025-07-15 15:28:00,168.2,168.85,165.0,167.05,0
2025-07-15 15:29:00,167.2,168.35,167.05,167.8,0
